customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00106,Female,0,Yes,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.24,2437.81,Yes
CUST-00107,Female,0,No,No,42,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,94.13,3874.68,No
CUST-00108,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),57.23,18.0,No
CUST-00109,Male,0,No,No,25,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,87.7,2281.07,Yes
CUST-00110,Female,1,No,No,9,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,32.03,367.51,No
CUST-00111,Male,0,No,Yes,3,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,76.25,112.91,No
CUST-00112,Female,0,No,No,66,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),35.25,2348.22,No
CUST-00113,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),33.01,831.04,Yes
CUST-00114,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,98.24,311.42,No
CUST-00115,Female,0,Yes,No,65,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,69.51,4463.24,No
CUST-00116,Female,0,No,No,59,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),56.17,3339.08,No
CUST-00117,Male,0,No,Yes,41,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),80.26,3292.01,Yes
CUST-00118,Male,0,No,No,70,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.39,5237.46,Yes
CUST-00119,Male,0,No,Yes,62,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),52.84,3329.24,No
CUST-00120,Male,0,No,No,65,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.75,3246.86,Yes
CUST-00121,Male,0,No,No,24,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),70.74,1773.07,No
CUST-00122,Female,0,No,No,46,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),85.03,3876.61,No
CUST-00123,Female,0,No,No,10,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,40.41,317.56,No
CUST-00124,Male,0,No,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,43.46,2192.61,No
CUST-00125,Female,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),55.99,18.0,No
CUST-00126,Female,0,No,Yes,44,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,72.38,3244.05,No
CUST-00127,Male,0,No,No,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.35,2290.96,No
CUST-00128,Female,1,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,52.9,1190.48,No
CUST-00129,Female,0,Yes,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,52.71,913.2,No
CUST-00130,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,43.82,145.73,No
CUST-00131,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,59.0,258.45,Yes
CUST-00132,Female,0,Yes,No,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,46.65,166.21,No
CUST-00133,Male,0,No,Yes,54,No,No phone service,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,66.71,3669.37,No
CUST-00134,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,335.58,Yes
CUST-00135,Female,0,No,Yes,25,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),70.12,1841.55,Yes
CUST-00136,Male,0,No,No,56,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Electronic check,76.61,4323.23,No
CUST-00137,Female,1,Yes,No,45,Yes,No,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),59.74,2734.83,No
CUST-00138,Male,0,Yes,No,51,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),87.28,4465.99,No
CUST-00139,Male,0,No,No,2,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),59.06,102.06,No
CUST-00140,Male,1,Yes,No,27,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),71.75,2050.22,No
CUST-00141,Female,1,No,No,55,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,87.61,4817.04,No
CUST-00142,Male,0,No,No,49,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),71.4,3465.04,No
CUST-00143,Male,0,No,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),42.14,2059.22,No
CUST-00144,Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),28.37,632.94,No
CUST-00145,Female,0,No,No,58,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,108.99,6357.55,No
CUST-00146,Female,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,46.24,18.0,No
CUST-00147,Male,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,59.79,409.39,No
CUST-00148,Male,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.41,878.77,No
CUST-00149,Female,0,Yes,No,54,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.42,4036.29,Yes
CUST-00150,Male,0,No,No,38,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,23.63,934.11,Yes
CUST-00151,Female,0,Yes,Yes,43,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,32.48,1390.55,No
CUST-00152,Male,0,No,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.46,1130.84,No
CUST-00153,Female,0,No,No,56,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),49.07,2694.67,No
CUST-00154,Male,1,Yes,No,1,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,46.85,19.17,No
CUST-00155,Male,0,No,No,29,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,65.77,1857.78,No
CUST-00156,Female,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.29,134.04,No
CUST-00157,Male,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,59.38,403.63,No
CUST-00158,Female,0,Yes,No,72,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,97.83,7011.71,No
CUST-00159,Female,0,Yes,No,54,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,59.15,3194.14,No
CUST-00160,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,85.43,6126.06,Yes
CUST-00161,Female,0,No,Yes,43,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,74.87,3232.85,No
CUST-00162,Female,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),51.24,2212.63,No
CUST-00163,Male,0,No,No,72,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,35.79,2593.4,No
CUST-00164,Male,0,No,No,45,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.39,2600.59,No
CUST-00165,Male,0,No,No,49,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),56.34,2661.24,Yes
CUST-00166,Female,1,No,Yes,72,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,77.69,5567.44,No
CUST-00167,Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,50.8,282.29,No
CUST-00168,Male,0,No,Yes,0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,69.26,77.37,No
CUST-00169,Male,0,No,No,35,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),66.86,2354.85,No
CUST-00170,Male,0,Yes,No,9,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),47.22,381.76,No
CUST-00171,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,76.05,157.93,Yes
CUST-00172,Male,0,Yes,No,29,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),37.29,1008.45,No
CUST-00173,Female,0,Yes,Yes,35,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,47.03,1724.1,No
CUST-00174,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),97.24,117.52,Yes
CUST-00175,Female,0,Yes,Yes,0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,88.09,18.0,Yes
CUST-00176,Male,0,No,No,38,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.38,2310.48,No
CUST-00177,Female,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.38,18.0,No
